problem_number,pass_num,total_num,accuracy
099,0,1,0
100,1,1,1
101,1,1,1
102,1,1,1
103,1,1,1
104,0,1,0
105,1,1,1
106,1,1,1
107,1,1,1
108,0,1,0
109,1,1,1
110,0,1,0
111,0,1,0
112,1,1,1
113,0,1,0
114,0,1,0
115,1,1,1
116,0,1,0
117,1,1,1
118,0,1,0
119,1,1,1
120,1,1,1
121,1,1,1
122,0,1,0
123,1,1,1
124,0,1,0
125,0,1,0
126,0,1,0
127,1,1,1
128,1,1,1
129,0,1,0
130,0,1,0
131,0,1,0
132,1,1,1
133,1,1,1
134,1,1,1
135,1,1,1
136,1,1,1
137,0,1,0
138,0,1,0
139,1,1,1
140,1,1,1
141,1,1,1
142,1,1,1
143,1,1,1
144,0,1,0
145,0,1,0
146,0,1,0
147,1,1,1
148,0,1,0
149,1,1,1
150,0,1,0
151,1,1,1
152,1,1,1
153,1,1,1
154,1,1,1
155,1,1,1
156,0,1,0
157,0,1,0
158,0,1,0
159,0,1,0
160,1,1,1
161,1,1,1
162,0,1,0
163,1,1,1
164,1,1,1
165,0,1,0
166,1,1,1
167,0,1,0
168,0,1,0
169,1,1,1
170,0,1,0
171,1,1,1
172,1,1,1
173,1,1,1
174,1,1,1
175,1,1,1
176,0,1,0
177,1,1,1
178,0,1,0
179,1,1,1
180,1,1,1
181,0,1,0
182,0,1,0
183,0,1,0
184,1,1,1
185,0,1,0
186,1,1,1
187,0,1,0
188,1,1,1
189,1,1,1
190,1,1,1
191,0,1,0
192,1,1,1
193,0,1,0
194,0,1,0
195,0,1,0
196,0,1,0
197,0,1,0
198,0,1,0
199,0,1,0
200,1,1,1
201,0,1,0
202,0,1,0
203,0,1,0
204,0,1,0
205,0,1,0
206,0,1,0
207,0,1,0
208,0,1,0
209,1,1,1
210,0,1,0
211,0,1,0
212,1,1,1
213,0,1,0
214,0,1,0
215,0,1,0
216,0,1,0
217,1,1,1
218,0,1,0
219,0,1,0
220,0,1,0
221,0,1,0
222,0,1,0
223,0,1,0
224,1,1,1
225,0,1,0
226,0,1,0
227,0,1,0
228,0,1,0
229,0,1,0
230,0,1,0
231,0,1,0
232,0,1,0
233,0,1,0
234,1,1,1
235,0,1,0
236,0,1,0
237,0,1,0
238,0,1,0
239,0,1,0
240,0,1,0
241,0,1,0
242,0,1,0
243,0,1,0
244,0,1,0
245,0,1,0
246,0,1,0
247,0,1,0
248,0,1,0
249,0,1,0
250,0,1,0
251,0,1,0
252,0,1,0
253,0,1,0
254,0,1,0
255,0,1,0
256,0,1,0
257,0,1,0
258,1,1,1
259,0,1,0
260,0,1,0
261,1,1,1
262,0,1,0
263,0,1,0
264,0,1,0
265,0,1,0
266,0,1,0
267,0,1,0
268,0,1,0
269,0,1,0
270,0,1,0
271,0,1,0
272,0,1,0
273,0,1,0
274,0,1,0
275,0,1,0
276,0,1,0
277,0,1,0
278,0,1,0
279,0,1,0
280,1,1,1
281,0,1,0
282,0,1,0
283,0,1,0
284,0,1,0
285,1,1,1
286,0,1,0
287,0,1,0
