times,difficulty,pass_num,total_num,accuracy
1,A,161,189,0.8518518518518519
2,A,157,189,0.8306878306878307
3,A,159,189,0.8412698412698413
4,A,160,189,0.8465608465608465
5,A,160,189,0.8465608465608465
1,B,135,189,0.7142857142857143
2,B,138,189,0.7301587301587301
3,B,144,189,0.7619047619047619
4,B,138,189,0.7301587301587301
5,B,135,189,0.7142857142857143
1,C,99,189,0.5238095238095238
2,C,103,189,0.544973544973545
3,C,100,189,0.5291005291005291
4,C,110,189,0.582010582010582
5,C,108,189,0.5714285714285714
1,D,45,189,0.238095238095238
2,D,46,189,0.2433862433862433
3,D,45,189,0.238095238095238
4,D,50,189,0.2645502645502645
5,D,46,189,0.2433862433862433
